InterCoCC,Product,Month,Currency,Received Qty,Total
NL,DS720+,2023/1,EUR,1,351.12
NL,DS720+,2023/1,EUR,2,702.24
NL,DS720+,2023/1,EUR,1,351.12
NL,DS720+,2023/1,EUR,1,351.12
NL,DS720+,2023/1,EUR,1,351.12
NL,DS720+,2023/1,EUR,1,351.12
NL,DS720+,2023/1,EUR,1,351.12
NL,DS720+,2023/1,EUR,1,351.12
NL,DS720+,2023/1,EUR,9,3160.08
NL,DS720+,2023/1,EUR,8,2808.96
NL,DS920+,2023/1,EUR,-1,-442.32
NL,DS923+,2023/1,EUR,1,483.0
NL,DS923+,2023/1,EUR,7,3381.0
NL,DS923+,2023/1,EUR,1,483.0
NL,DS923+,2023/1,EUR,1,483.0
NL,DS923+,2023/1,EUR,1,483.0
NL,DS923+,2023/1,EUR,1,483.0
NL,DS923+,2023/1,EUR,1,483.0
NL,DS923+,2023/1,EUR,1,483.0
NL,DS923+,2023/1,EUR,1,483.0
NL,DS923+,2023/1,EUR,1,483.0
NL,DS923+,2023/1,EUR,1,483.0
NL,DS923+,2023/1,EUR,1,483.0
NL,DVA1622,2023/1,EUR,1,497.04
NL,DVA1622,2023/1,EUR,1,497.04
NL,DVA1622,2023/1,EUR,1,497.04
NL,DVA1622,2023/1,EUR,2,994.08
NL,E10G18-T1,2023/1,EUR,1,112.18
NL,E10G18-T1,2023/1,EUR,1,112.18
NL,E10G21-F2,2023/1,EUR,1,212.5
NL,E10G21-F2,2023/1,EUR,1,212.5
NL,E10G21-F2,2023/1,EUR,2,425.0
NL,E10G21-F2,2023/1,EUR,1,212.5
NL,E10G21-F2,2023/1,EUR,2,425.0
NL,E10G21-F2,2023/1,EUR,1,212.5
NL,E10G21-F2,2023/1,EUR,2,425.0
NL,E10G21-F2,2023/1,EUR,1,212.5
NL,E10G21-F2,2023/1,EUR,3,637.5
NL,E10G21-F2,2023/1,EUR,1,212.5
NL,E10G21-F2,2023/1,EUR,-1,-212.5
NL,E10G21-F2,2023/1,EUR,1,212.5
NL,E10G21-F2,2023/1,EUR,1,212.5
NL,E10G21-F2,2023/1,EUR,1,212.5
NL,E10G21-F2,2023/1,EUR,1,212.5
NL,E10G21-F2,2023/1,EUR,2,425.0
NL,E10G21-F2,2023/1,EUR,4,850.0
NL,E10M20-T1,2023/1,EUR,2,401.28
NL,E25G21-F2,2023/1,EUR,1,300.05
NL,FS3410,2023/1,EUR,1,5253.0
NL,FS3410,2023/1,EUR,1,5253.0
NL,HAT5300-12T,2023/1,EUR,14,5490.24
NL,HAT5300-12T,2023/1,EUR,12,4705.92
NL,HAT5300-16T,2023/1,EUR,1,519.84
NL,HAT5300-8T,2023/1,EUR,-1,-255.36
NL,HAT5310-18T,2023/1,EUR,4,2261.76
