InterCoCC,Product,Month,Currency,Received Qty,Total
NL,6G ESATA CABLE,2024/1,EUR,1,7.29
NL,ADAPTER 100W_2,2024/1,EUR,-1,-43.68
NL,ADAPTER 100W_2,2024/1,EUR,2,87.36
NL,ADAPTER 100W_2,2024/1,EUR,1,43.68
NL,ADAPTER 100W_2,2024/1,EUR,9,393.12
NL,ADAPTER 100W_2,2024/1,EUR,-1,-43.68
NL,ADAPTER 60W_1,2024/1,EUR,1,14.59
NL,BC500,2024/1,EUR,1,200.0
NL,D3NS1866L-4G,2024/1,EUR,2,113.08
NL,D4EC-2666-16G,2024/1,EUR,1,312.82
NL,D4EC-2666-8G,2024/1,EUR,1,152.3
NL,D4EC-2666-8G,2024/1,EUR,1,152.3
NL,D4EC-2666-8G,2024/1,EUR,3,456.9
NL,D4EC-2666-8G,2024/1,EUR,5,761.5
NL,D4ECSO-2666-16G,2024/1,EUR,1,282.72
NL,D4ECSO-2666-16G,2024/1,EUR,1,282.72
NL,D4ECSO-2666-16G,2024/1,EUR,2,565.44
NL,D4ER01-32G,2024/1,EUR,1,565.44
NL,D4ER01-32G,2024/1,EUR,1,565.44
NL,D4ES01-16G,2024/1,EUR,2,565.44
NL,D4ES01-16G,2024/1,EUR,2,565.44
NL,D4ES01-16G,2024/1,EUR,1,282.72
NL,D4ES01-16G,2024/1,EUR,6,1696.32
NL,D4ES01-16G,2024/1,EUR,2,565.44
NL,D4ES01-8G,2024/1,EUR,1,145.92
NL,D4ES01-8G,2024/1,EUR,1,145.92
NL,D4ES02-4G,2024/1,EUR,1,63.84
NL,D4ES02-4G,2024/1,EUR,1,63.84
NL,D4ES02-4G,2024/1,EUR,5,319.2
NL,D4ES02-4G,2024/1,EUR,1,63.84
NL,D4ES02-8G,2024/1,EUR,1,145.92
NL,D4ES02-8G,2024/1,EUR,1,145.92
NL,D4ES02-8G,2024/1,EUR,1,145.92
NL,D4ES02-8G,2024/1,EUR,3,437.76
NL,D4ES02-8G,2024/1,EUR,3,437.76
NL,D4ES02-8G,2024/1,EUR,2,291.84
NL,D4NESO-2666-4G,2024/1,EUR,1,69.31
NL,D4NESO-2666-4G,2024/1,EUR,2,138.62
NL,D4NESO-2666-4G,2024/1,EUR,2,138.62
NL,D4NESO-2666-4G,2024/1,EUR,2,138.62
NL,D4NESO-2666-4G,2024/1,EUR,1,69.31
NL,D4NESO-2666-4G,2024/1,EUR,1,69.31
NL,DEVICE LICENSE PACK (1 LICENSE),2024/1,EUR,1,36.48
NL,DEVICE LICENSE PACK (8 LICENSES),2024/1,EUR,3,744.18
NL,DEVICE LICENSE PACK (8 LICENSES),2024/1,EUR,1,248.06
NL,DISK HOLDER_TYPE C,2024/1,EUR,12,50.04
NL,DS118,2024/1,EUR,-1,-132.24
