PI,Customer,ItemCode,Product,Currency,Price,Quantity,Discount,T/T Discount,Total,ShipDate,InvDate,DeliveryFrom,Destination,Comments,Country,ShipTo
2364548,C2,,EU_SURVEILLANCE_ADVANCED_1080P_YEAR_30D,EUR,49.62,1,0,0,49.62,2023-01-01,2023-01-01,EU,Austria,,Austria,
2364549,C2,,EU_SURVEILLANCE_ADVANCED_5MP_YEAR_30D,EUR,15.04,1,0,0,15.04,2023-01-01,2023-01-01,EU,Austria,,Austria,
2364550,C2,,EU_SURVEILLANCE_BASIC_1080P_YEAR_30D,EUR,8.77,1,0,0,8.77,2023-01-01,2023-01-01,EU,Austria,,Austria,
2364551,C2,,EU_SURVEILLANCE_BASIC_720P_YEAR_7D,EUR,11.27,1,0,0,11.27,2023-01-01,2023-01-01,EU,Austria,,Austria,
2364552,C2,,(US) C2 Storage Advanced,USD,27.42,1,0,0,27.42,2023-01-01,2023-01-01,US,Austria,,Austria,
2364553,C2,,(US) C2 Backup Individual,USD,7.83,1,0,0,7.83,2023-01-01,2023-01-01,US,Austria,,Austria,
2364554,C2,,(EU) Active Insight Premium Early Bird,EUR,217.76,1,0,0,217.76,2023-01-01,2023-01-01,EU,Australia,,Australia,
2364555,C2,,(EU) C2 Storage Advanced,EUR,4822.41,1,0,0,4822.41,2023-01-01,2023-01-01,EU,Australia,,Australia,
2364556,C2,,(EU) C2 Storage Basic,EUR,1073.92,1,0,0,1073.92,2023-01-01,2023-01-01,EU,Australia,,Australia,
2364557,C2,,(EU) C2 Object Storage Standard,EUR,27.41,1,0,0,27.41,2023-01-01,2023-01-01,EU,Australia,,Australia,
2364558,C2,,(EU) C2 Backup Business,EUR,39.16,1,0,0,39.16,2023-01-01,2023-01-01,EU,Australia,,Australia,
2364559,C2,,(EU) C2 Password Plus,EUR,1.17,1,0,0,1.17,2023-01-01,2023-01-01,EU,Australia,,Australia,
2364560,C2,,EU_SURVEILLANCE_BASIC_720P_YEAR_7D,EUR,0.9,1,0,0,0.9,2023-01-01,2023-01-01,EU,Australia,,Australia,
2364561,C2,,(US) C2 Password Plus,USD,4.68,1,0,0,4.68,2023-01-01,2023-01-01,US,Australia,,Australia,
2364562,C2,,(APAC) C2 Identity Business,USD,20.59,1,0,0,20.59,2023-01-01,2023-01-01,APAC,Australia,,Australia,
2364563,C2,,(APAC) C2 Object Storage Standard,USD,18.95,1,0,0,18.95,2023-01-01,2023-01-01,APAC,Australia,,Australia,
2364564,C2,,(APAC) C2 Password Plus,USD,1.29,1,0,0,1.29,2023-01-01,2023-01-01,APAC,Australia,,Australia,
2364565,C2,,(APAC) C2 Storage Advanced,USD,2019.02,1,0,0,2019.02,2023-01-01,2023-01-01,APAC,Australia,,Australia,
2364566,C2,,(APAC) C2 Storage Basic,USD,51.36,1,0,0,51.36,2023-01-01,2023-01-01,APAC,Australia,,Australia,
2364567,C2,,(US) Active Insight Premium Early Bird,USD,44.61,1,0,0,44.61,2023-01-01,2023-01-01,US,Australia,,Australia,
2364568,C2,,(US) Active Insight Premium,USD,3.01,1,0,0,3.01,2023-01-01,2023-01-01,US,Australia,,Australia,
2364569,C2,,(US) C2 Storage Advanced,USD,6723.59,1,0,0,6723.59,2023-01-01,2023-01-01,US,Australia,,Australia,
2364570,C2,,(US) C2 Storage Basic,USD,766.83,1,0,0,766.83,2023-01-01,2023-01-01,US,Australia,,Australia,
2364571,C2,,(US) C2 Backup Individual,USD,53.17,1,0,0,53.17,2023-01-01,2023-01-01,US,Australia,,Australia,
2364572,C2,,(US) C2 Object Storage Standard,USD,132.31,1,0,0,132.31,2023-01-01,2023-01-01,US,Australia,,Australia,
2364573,C2,,(US) C2 Backup Business,USD,181.37,1,0,0,181.37,2023-01-01,2023-01-01,US,Australia,,Australia,
2364574,C2,,(US) C2 Transfer Professional,USD,31.32,1,0,0,31.32,2023-01-01,2023-01-01,US,Australia,,Australia,
2364575,C2,,US_SURVEILLANCE_ADVANCED_1080P_YEAR_30D,USD,114.26,1,0,0,114.26,2023-01-01,2023-01-01,US,Australia,,Australia,
2364576,C2,,US_SURVEILLANCE_ADVANCED_5MP_YEAR_30D,USD,18.04,1,0,0,18.04,2023-01-01,2023-01-01,US,Australia,,Australia,
2364577,C2,,US_SURVEILLANCE_BASIC_1080P_YEAR_30D,USD,27.56,1,0,0,27.56,2023-01-01,2023-01-01,US,Australia,,Australia,
2364578,C2,,US_SURVEILLANCE_BASIC_720P_YEAR_7D,USD,12.62,1,0,0,12.62,2023-01-01,2023-01-01,US,Australia,,Australia,
2364579,C2,,(EU) C2 Storage Advanced,EUR,5.48,1,0,0,5.48,2023-01-01,2023-01-01,EU,Aruba,,Aruba,
2364580,C2,,(EU) C2 Storage Basic,EUR,1.96,1,0,0,1.96,2023-01-01,2023-01-01,EU,Aruba,,Aruba,
2364581,C2,,(US) C2 Storage Advanced,USD,5.59,1,0,0,5.59,2023-01-01,2023-01-01,US,Aruba,,Aruba,
2364582,C2,,(US) C2 Storage Basic,USD,4.7,1,0,0,4.7,2023-01-01,2023-01-01,US,Aruba,,Aruba,
2364583,C2,,US_SURVEILLANCE_BASIC_1080P_YEAR_30D,USD,2.51,1,0,0,2.51,2023-01-01,2023-01-01,US,Aruba,,Aruba,
2364584,C2,,(EU) C2 Storage Basic,EUR,6.66,1,0,0,6.66,2023-01-01,2023-01-01,EU,Åland Islands,,Åland Islands,
2364585,C2,,(EU) C2 Storage Advanced,EUR,5.48,1,0,0,5.48,2023-01-01,2023-01-01,EU,Bosnia-Herz,,Bosnia-Herz,
2364586,C2,,(EU) C2 Storage Basic,EUR,5.63,1,0,0,5.63,2023-01-01,2023-01-01,EU,Bosnia-Herz,,Bosnia-Herz,
2364587,C2,,(EU) C2 Backup Individual,EUR,2.74,1,0,0,2.74,2023-01-01,2023-01-01,EU,Bosnia-Herz,,Bosnia-Herz,
2364588,C2,,(EU) Active Insight Premium Early Bird,EUR,13.29,1,0,0,13.29,2023-01-01,2023-01-01,EU,Barbados,,Barbados,
2364589,C2,,(EU) C2 Storage Basic,EUR,5.48,1,0,0,5.48,2023-01-01,2023-01-01,EU,Barbados,,Barbados,
2364590,C2,,(US) C2 Storage Advanced,USD,10.96,1,0,0,10.96,2023-01-01,2023-01-01,US,Barbados,,Barbados,
2364591,C2,,(EU) C2 Storage Basic,EUR,0.78,1,0,0,0.78,2023-01-01,2023-01-01,EU,Bangladesh,,Bangladesh,
2364592,C2,,(APAC) C2 Storage Advanced,USD,5.87,1,0,0,5.87,2023-01-01,2023-01-01,APAC,Bangladesh,,Bangladesh,
2364593,C2,,(US) C2 Storage Advanced,USD,34.09,1,0,0,34.09,2023-01-01,2023-01-01,US,Bangladesh,,Bangladesh,
2364594,C2,,(US) C2 Storage Basic,USD,7.59,1,0,0,7.59,2023-01-01,2023-01-01,US,Bangladesh,,Bangladesh,
2364595,C2,,US_SURVEILLANCE_ADVANCED_1080P_YEAR_30D,USD,3.01,1,0,0,3.01,2023-01-01,2023-01-01,US,Bangladesh,,Bangladesh,
2364596,C2,,C2 credit,EUR,-38.3,1,0,0,-38.3,2023-01-01,2023-01-01,,Belgium,,Belgium,
2364597,C2,,(EU) Active Insight Premium Early Bird,EUR,281.95,1,0,0,281.95,2023-01-01,2023-01-01,EU,Belgium,,Belgium,
2364598,C2,,(EU) Active Insight Premium,EUR,10.41,1,0,0,10.41,2023-01-01,2023-01-01,EU,Belgium,,Belgium,
2364599,C2,,(EU) C2 Storage Advanced,EUR,19440.14,1,0,0,19440.14,2023-01-01,2023-01-01,EU,Belgium,,Belgium,
2364600,C2,,(EU) C2 Storage Basic,EUR,4335.5,1,0,0,4335.5,2023-01-01,2023-01-01,EU,Belgium,,Belgium,
2364601,C2,,(EU) C2 Backup Individual,EUR,130.43,1,0,0,130.43,2023-01-01,2023-01-01,EU,Belgium,,Belgium,
2364602,C2,,(EU) C2 Identity Business,EUR,22.45,1,0,0,22.45,2023-01-01,2023-01-01,EU,Belgium,,Belgium,
2364603,C2,,(EU) C2 Object Storage Standard,EUR,170.87,1,0,0,170.87,2023-01-01,2023-01-01,EU,Belgium,,Belgium,
2364604,C2,,(EU) C2 Backup Business,EUR,515.4,1,0,0,515.4,2023-01-01,2023-01-01,EU,Belgium,,Belgium,
2364605,C2,,(EU) C2 Password Plus,EUR,6.63,1,0,0,6.63,2023-01-01,2023-01-01,EU,Belgium,,Belgium,
2364606,C2,,(EU) C2 Transfer Professional,EUR,9.39,1,0,0,9.39,2023-01-01,2023-01-01,EU,Belgium,,Belgium,
2364607,C2,,EU_SURVEILLANCE_ADVANCED_1080P_YEAR_30D,EUR,148.79,1,0,0,148.79,2023-01-01,2023-01-01,EU,Belgium,,Belgium,
2364608,C2,,EU_SURVEILLANCE_ADVANCED_1080P_YEAR_90D,EUR,6.02,1,0,0,6.02,2023-01-01,2023-01-01,EU,Belgium,,Belgium,
2364609,C2,,EU_SURVEILLANCE_ADVANCED_5MP_YEAR_30D,EUR,6.02,1,0,0,6.02,2023-01-01,2023-01-01,EU,Belgium,,Belgium,
2364610,C2,,EU_SURVEILLANCE_BASIC_1080P_YEAR_30D,EUR,15.03,1,0,0,15.03,2023-01-01,2023-01-01,EU,Belgium,,Belgium,
2364611,C2,,EU_SURVEILLANCE_BASIC_720P_YEAR_7D,EUR,23.88,1,0,0,23.88,2023-01-01,2023-01-01,EU,Belgium,,Belgium,
2364612,C2,,(US) C2 Storage Advanced,USD,60.31,1,0,0,60.31,2023-01-01,2023-01-01,US,Belgium,,Belgium,
2364613,C2,,(US) C2 Storage Basic,USD,10.18,1,0,0,10.18,2023-01-01,2023-01-01,US,Belgium,,Belgium,
2364614,C2,,(US) C2 Object Storage Standard,USD,5.48,1,0,0,5.48,2023-01-01,2023-01-01,US,Belgium,,Belgium,
2364615,C2,,(EU) C2 Storage Advanced,EUR,10.97,1,0,0,10.97,2023-01-01,2023-01-01,EU,Burkina Faso,,Burkina Faso,
2364616,C2,,(EU) Active Insight Premium Early Bird,EUR,13.3,1,0,0,13.3,2023-01-01,2023-01-01,EU,Bulgaria,,Bulgaria,
2364617,C2,,(EU) C2 Storage Advanced,EUR,267.7,1,0,0,267.7,2023-01-01,2023-01-01,EU,Bulgaria,,Bulgaria,
2364618,C2,,(EU) C2 Storage Basic,EUR,62.85,1,0,0,62.85,2023-01-01,2023-01-01,EU,Bulgaria,,Bulgaria,
2364619,C2,,(EU) C2 Backup Business,EUR,39.16,1,0,0,39.16,2023-01-01,2023-01-01,EU,Bulgaria,,Bulgaria,
2364620,C2,,(EU) C2 Password Plus,EUR,0.78,1,0,0,0.78,2023-01-01,2023-01-01,EU,Bulgaria,,Bulgaria,
2364621,C2,,EU_SURVEILLANCE_ADVANCED_1080P_YEAR_30D,EUR,1.5,1,0,0,1.5,2023-01-01,2023-01-01,EU,Bulgaria,,Bulgaria,
2364622,C2,,(US) C2 Storage Advanced,USD,5.48,1,0,0,5.48,2023-01-01,2023-01-01,US,Bulgaria,,Bulgaria,
2364623,C2,,(EU) C2 Storage Advanced,EUR,32.89,1,0,0,32.89,2023-01-01,2023-01-01,EU,Bahrain,,Bahrain,
2364624,C2,,(EU) C2 Storage Basic,EUR,9.4,1,0,0,9.4,2023-01-01,2023-01-01,EU,Bahrain,,Bahrain,
2364625,C2,,(US) C2 Storage Advanced,USD,106.53,1,0,0,106.53,2023-01-01,2023-01-01,US,Bahrain,,Bahrain,
2364626,C2,,(US) C2 Storage Basic,USD,1.96,1,0,0,1.96,2023-01-01,2023-01-01,US,Bahrain,,Bahrain,
2364627,C2,,(EU) Active Insight Premium Early Bird,EUR,3.91,1,0,0,3.91,2023-01-01,2023-01-01,EU,Saint Barthélemy,,Saint Barthélemy,
2364628,C2,,(EU) C2 Storage Advanced,EUR,55.08,1,0,0,55.08,2023-01-01,2023-01-01,EU,Saint Barthélemy,,Saint Barthélemy,
2364629,C2,,(EU) C2 Storage Basic,EUR,0.78,1,0,0,0.78,2023-01-01,2023-01-01,EU,Saint Barthélemy,,Saint Barthélemy,
2364630,C2,,EU_SURVEILLANCE_ADVANCED_1080P_YEAR_30D,EUR,3.01,1,0,0,3.01,2023-01-01,2023-01-01,EU,Saint Barthélemy,,Saint Barthélemy,
2364631,C2,,(EU) Active Insight Premium Early Bird,EUR,2.35,1,0,0,2.35,2023-01-01,2023-01-01,EU,Bermuda,,Bermuda,
2364632,C2,,(EU) C2 Storage Advanced,EUR,172.22,1,0,0,172.22,2023-01-01,2023-01-01,EU,Bermuda,,Bermuda,
2364633,C2,,(US) C2 Storage Advanced,USD,16.45,1,0,0,16.45,2023-01-01,2023-01-01,US,Bermuda,,Bermuda,
2364634,C2,,(EU) C2 Storage Basic,EUR,1.96,1,0,0,1.96,2023-01-01,2023-01-01,EU,Brunei Darussalam,,Brunei Darussalam,
2364635,C2,,C2 credit,USD,-7.61,1,0,0,-7.61,2023-01-01,2023-01-01,,Brazil,,Brazil,
2364636,C2,,(EU) Active Insight Premium Early Bird,EUR,13.31,1,0,0,13.31,2023-01-01,2023-01-01,EU,Brazil,,Brazil,
2364637,C2,,(EU) C2 Storage Advanced,EUR,291.47,1,0,0,291.47,2023-01-01,2023-01-01,EU,Brazil,,Brazil,
2364638,C2,,(EU) C2 Storage Basic,EUR,35.46,1,0,0,35.46,2023-01-01,2023-01-01,EU,Brazil,,Brazil,
2364639,C2,,(US) C2 Password Plus,USD,1.17,1,0,0,1.17,2023-01-01,2023-01-01,US,Brazil,,Brazil,
2364640,C2,,(US) Active Insight Premium Early Bird,USD,0.78,1,0,0,0.78,2023-01-01,2023-01-01,US,Brazil,,Brazil,
2364641,C2,,(US) C2 Storage Advanced,USD,1527.87,1,0,0,1527.87,2023-01-01,2023-01-01,US,Brazil,,Brazil,
2364642,C2,,(US) C2 Storage Basic,USD,38.93,1,0,0,38.93,2023-01-01,2023-01-01,US,Brazil,,Brazil,
2364643,C2,,(US) C2 Backup Individual,USD,34.6,1,0,0,34.6,2023-01-01,2023-01-01,US,Brazil,,Brazil,
2364644,C2,,(US) C2 Object Storage Standard,USD,5.48,1,0,0,5.48,2023-01-01,2023-01-01,US,Brazil,,Brazil,
2364645,C2,,(US) C2 Backup Business,USD,339.66,1,0,0,339.66,2023-01-01,2023-01-01,US,Brazil,,Brazil,
2364646,C2,,US_SURVEILLANCE_ADVANCED_1080P_YEAR_30D,USD,12.03,1,0,0,12.03,2023-01-01,2023-01-01,US,Brazil,,Brazil,
2364647,C2,,US_SURVEILLANCE_BASIC_720P_YEAR_7D,USD,0.45,1,0,0,0.45,2023-01-01,2023-01-01,US,Brazil,,Brazil,
2364648,C2,,(EU) C2 Storage Advanced,EUR,57.6,1,0,0,57.6,2023-01-01,2023-01-01,EU,Belarus,,Belarus,
2364649,C2,,(EU) C2 Storage Basic,EUR,10.0,1,0,0,10.0,2023-01-01,2023-01-01,EU,Belarus,,Belarus,
2364650,C2,,(EU) C2 Object Storage Standard,EUR,6.57,1,0,0,6.57,2023-01-01,2023-01-01,EU,Belarus,,Belarus,
2364651,C2,,(US) C2 Storage Basic,USD,9.4,1,0,0,9.4,2023-01-01,2023-01-01,US,Belarus,,Belarus,
2364652,C2,,(EU) C2 Storage Advanced,EUR,6.57,1,0,0,6.57,2023-01-01,2023-01-01,EU,Belize,,Belize,
2364653,C2,,C2 credit,USD,-20.44,1,0,0,-20.44,2023-01-01,2023-01-01,,Canada,,Canada,
2364654,C2,,(EU) Active Insight Premium Early Bird,EUR,215.83,1,0,0,215.83,2023-01-01,2023-01-01,EU,Canada,,Canada,
2364655,C2,,(EU) Active Insight Premium,EUR,4.5,1,0,0,4.5,2023-01-01,2023-01-01,EU,Canada,,Canada,
2364656,C2,,(EU) C2 Storage Advanced,EUR,3957.35,1,0,0,3957.35,2023-01-01,2023-01-01,EU,Canada,,Canada,
2364657,C2,,(EU) C2 Storage Basic,EUR,634.06,1,0,0,634.06,2023-01-01,2023-01-01,EU,Canada,,Canada,
2364658,C2,,(EU) C2 Backup Individual,EUR,14.48,1,0,0,14.48,2023-01-01,2023-01-01,EU,Canada,,Canada,
2364659,C2,,(EU) C2 Object Storage Standard,EUR,6.57,1,0,0,6.57,2023-01-01,2023-01-01,EU,Canada,,Canada,
2364660,C2,,(EU) C2 Backup Business,EUR,39.16,1,0,0,39.16,2023-01-01,2023-01-01,EU,Canada,,Canada,
2364661,C2,,(EU) C2 Password Plus,EUR,0.39,1,0,0,0.39,2023-01-01,2023-01-01,EU,Canada,,Canada,
2364662,C2,,EU_SURVEILLANCE_BASIC_720P_YEAR_7D,EUR,0.45,1,0,0,0.45,2023-01-01,2023-01-01,EU,Canada,,Canada,
2364663,C2,,(US) C2 Password Plus,USD,5.85,1,0,0,5.85,2023-01-01,2023-01-01,US,Canada,,Canada,
2364664,C2,,(APAC) C2 Storage Advanced,USD,11.75,1,0,0,11.75,2023-01-01,2023-01-01,APAC,Canada,,Canada,
2364665,C2,,(US) Active Insight Premium Early Bird,USD,50.08,1,0,0,50.08,2023-01-01,2023-01-01,US,Canada,,Canada,
2364666,C2,,(US) C2 Storage Advanced,USD,13036.25,1,0,0,13036.25,2023-01-01,2023-01-01,US,Canada,,Canada,
2364667,C2,,(US) C2 Storage Basic,USD,1021.02,1,0,0,1021.02,2023-01-01,2023-01-01,US,Canada,,Canada,
2364668,C2,,(US) C2 Backup Individual,USD,194.79,1,0,0,194.79,2023-01-01,2023-01-01,US,Canada,,Canada,
2364669,C2,,(US) C2 Identity Business,USD,15.66,1,0,0,15.66,2023-01-01,2023-01-01,US,Canada,,Canada,
2364670,C2,,(US) C2 Object Storage Standard,USD,74.49,1,0,0,74.49,2023-01-01,2023-01-01,US,Canada,,Canada,
2364671,C2,,(US) C2 Backup Business,USD,1410.91,1,0,0,1410.91,2023-01-01,2023-01-01,US,Canada,,Canada,
2364672,C2,,(US) C2 Transfer Professional,USD,25.05,1,0,0,25.05,2023-01-01,2023-01-01,US,Canada,,Canada,
2364673,C2,,US_SURVEILLANCE_ADVANCED_1080P_YEAR_30D,USD,90.21,1,0,0,90.21,2023-01-01,2023-01-01,US,Canada,,Canada,
2364674,C2,,US_SURVEILLANCE_BASIC_1080P_YEAR_30D,USD,21.55,1,0,0,21.55,2023-01-01,2023-01-01,US,Canada,,Canada,
2364675,C2,,US_SURVEILLANCE_BASIC_720P_YEAR_7D,USD,9.46,1,0,0,9.46,2023-01-01,2023-01-01,US,Canada,,Canada,
2364676,C2,,(EU) C2 Storage Advanced,EUR,5.48,1,0,0,5.48,2023-01-01,2023-01-01,EU,"Congo, the Democratic Republic of the",,"Congo, the Democratic Republic of the",
2364677,C2,,(US) C2 Storage Advanced,USD,181.88,1,0,0,181.88,2023-01-01,2023-01-01,US,"Congo, the Democratic Republic of the",,"Congo, the Democratic Republic of the",
2364678,C2,,C2 credit,EUR,-70.89,1,0,0,-70.89,2023-01-01,2023-01-01,,Switzerland,,Switzerland,
2364679,C2,,(EU) Active Insight Premium Early Bird,EUR,1101.72,1,0,0,1101.72,2023-01-01,2023-01-01,EU,Switzerland,,Switzerland,
2364680,C2,,(EU) Active Insight Premium,EUR,6.17,1,0,0,6.17,2023-01-01,2023-01-01,EU,Switzerland,,Switzerland,
2364681,C2,,(EU) C2 Storage Advanced,EUR,31747.57,1,0,0,31747.57,2023-01-01,2023-01-01,EU,Switzerland,,Switzerland,
2364682,C2,,(EU) C2 Storage Basic,EUR,6996.42,1,0,0,6996.42,2023-01-01,2023-01-01,EU,Switzerland,,Switzerland,
2364683,C2,,(EU) C2 Backup Enterprise,EUR,469.77,1,0,0,469.77,2023-01-01,2023-01-01,EU,Switzerland,,Switzerland,
2364684,C2,,(EU) C2 Backup Individual,EUR,738.83,1,0,0,738.83,2023-01-01,2023-01-01,EU,Switzerland,,Switzerland,
2364685,C2,,(EU) C2 Identity Business,EUR,28.06,1,0,0,28.06,2023-01-01,2023-01-01,EU,Switzerland,,Switzerland,
2364686,C2,,(EU) C2 Object Storage Standard,EUR,49.29,1,0,0,49.29,2023-01-01,2023-01-01,EU,Switzerland,,Switzerland,
2364687,C2,,(EU) C2 Backup Business,EUR,1152.5,1,0,0,1152.5,2023-01-01,2023-01-01,EU,Switzerland,,Switzerland,
2364688,C2,,(EU) C2 Password Plus,EUR,14.84,1,0,0,14.84,2023-01-01,2023-01-01,EU,Switzerland,,Switzerland,
2364689,C2,,(EU) C2 Transfer Professional,EUR,25.05,1,0,0,25.05,2023-01-01,2023-01-01,EU,Switzerland,,Switzerland,
2364690,C2,,EU_SURVEILLANCE_ADVANCED_1080P_YEAR_30D,EUR,135.31,1,0,0,135.31,2023-01-01,2023-01-01,EU,Switzerland,,Switzerland,
2364691,C2,,EU_SURVEILLANCE_ADVANCED_1080P_YEAR_90D,EUR,6.02,1,0,0,6.02,2023-01-01,2023-01-01,EU,Switzerland,,Switzerland,
2364692,C2,,EU_SURVEILLANCE_BASIC_1080P_YEAR_30D,EUR,16.29,1,0,0,16.29,2023-01-01,2023-01-01,EU,Switzerland,,Switzerland,
