PI,Customer,ItemCode,Product,Currency,Price,Quantity,Discount,T/T Discount,Total,ShipDate,InvDate,DeliveryFrom,Destination,Comments,Country,ShipTo
2364503,C2,,(EU) C2 Storage Advanced,EUR,104.69,1,0,0,104.69,2023-01-01,2023-01-01,EU,Andorra,,Andorra,
2364504,C2,,(EU) C2 Storage Basic,EUR,35.33,1,0,0,35.33,2023-01-01,2023-01-01,EU,Andorra,,Andorra,
2364505,C2,,(US) C2 Storage Basic,USD,1.96,1,0,0,1.96,2023-01-01,2023-01-01,US,Andorra,,Andorra,
2364506,C2,,(EU) Active Insight Premium Early Bird,EUR,12.53,1,0,0,12.53,2023-01-01,2023-01-01,EU,United Arab Emirates,,United Arab Emirates,
2364507,C2,,(EU) C2 Storage Advanced,EUR,1246.98,1,0,0,1246.98,2023-01-01,2023-01-01,EU,United Arab Emirates,,United Arab Emirates,
2364508,C2,,(EU) C2 Storage Basic,EUR,66.24,1,0,0,66.24,2023-01-01,2023-01-01,EU,United Arab Emirates,,United Arab Emirates,
2364509,C2,,(EU) C2 Backup Business,EUR,46.95,1,0,0,46.95,2023-01-01,2023-01-01,EU,United Arab Emirates,,United Arab Emirates,
2364510,C2,,(APAC) C2 Storage Advanced,USD,945.72,1,0,0,945.72,2023-01-01,2023-01-01,APAC,United Arab Emirates,,United Arab Emirates,
2364511,C2,,(APAC) C2 Storage Basic,USD,2.11,1,0,0,2.11,2023-01-01,2023-01-01,APAC,United Arab Emirates,,United Arab Emirates,
2364512,C2,,(US) C2 Storage Advanced,USD,848.3,1,0,0,848.3,2023-01-01,2023-01-01,US,United Arab Emirates,,United Arab Emirates,
2364513,C2,,(US) C2 Storage Basic,USD,9.4,1,0,0,9.4,2023-01-01,2023-01-01,US,United Arab Emirates,,United Arab Emirates,
2364514,C2,,(US) C2 Backup Business,USD,54.83,1,0,0,54.83,2023-01-01,2023-01-01,US,United Arab Emirates,,United Arab Emirates,
2364515,C2,,(EU) C2 Storage Basic,EUR,11.45,1,0,0,11.45,2023-01-01,2023-01-01,EU,Afghanistan,,Afghanistan,
2364516,C2,,(EU) Active Insight Premium Early Bird,EUR,3.13,1,0,0,3.13,2023-01-01,2023-01-01,EU,Antigua and Barbuda,,Antigua and Barbuda,
2364517,C2,,(EU) C2 Storage Advanced,EUR,5.48,1,0,0,5.48,2023-01-01,2023-01-01,EU,Antigua and Barbuda,,Antigua and Barbuda,
2364518,C2,,(US) C2 Storage Advanced,USD,10.97,1,0,0,10.97,2023-01-01,2023-01-01,US,Antigua and Barbuda,,Antigua and Barbuda,
2364519,C2,,US_SURVEILLANCE_BASIC_720P_YEAR_7D,USD,0.9,1,0,0,0.9,2023-01-01,2023-01-01,US,Anguilla,,Anguilla,
2364520,C2,,(EU) C2 Storage Advanced,EUR,87.11,1,0,0,87.11,2023-01-01,2023-01-01,EU,Albania,,Albania,
2364521,C2,,(EU) C2 Storage Basic,EUR,2.74,1,0,0,2.74,2023-01-01,2023-01-01,EU,Albania,,Albania,
2364522,C2,,(EU) C2 Storage Advanced,EUR,12.05,1,0,0,12.05,2023-01-01,2023-01-01,EU,Armenia,,Armenia,
2364523,C2,,EU_SURVEILLANCE_BASIC_720P_YEAR_7D,EUR,0.9,1,0,0,0.9,2023-01-01,2023-01-01,EU,Armenia,,Armenia,
2364524,C2,,(US) C2 Storage Advanced,USD,5.48,1,0,0,5.48,2023-01-01,2023-01-01,US,Armenia,,Armenia,
2364525,C2,,(EU) C2 Storage Advanced,EUR,51.15,1,0,0,51.15,2023-01-01,2023-01-01,EU,Angola,,Angola,
2364526,C2,,(EU) Active Insight Premium Early Bird,EUR,0.78,1,0,0,0.78,2023-01-01,2023-01-01,EU,Argentina,,Argentina,
2364527,C2,,(EU) C2 Storage Advanced,EUR,137.05,1,0,0,137.05,2023-01-01,2023-01-01,EU,Argentina,,Argentina,
2364528,C2,,(EU) C2 Storage Basic,EUR,14.63,1,0,0,14.63,2023-01-01,2023-01-01,EU,Argentina,,Argentina,
2364529,C2,,(US) C2 Storage Advanced,USD,434.22,1,0,0,434.22,2023-01-01,2023-01-01,US,Argentina,,Argentina,
2364530,C2,,(US) C2 Storage Basic,USD,8.22,1,0,0,8.22,2023-01-01,2023-01-01,US,Argentina,,Argentina,
2364531,C2,,(US) C2 Backup Individual,USD,3.28,1,0,0,3.28,2023-01-01,2023-01-01,US,Argentina,,Argentina,
2364532,C2,,(US) C2 Backup Business,USD,46.95,1,0,0,46.95,2023-01-01,2023-01-01,US,Argentina,,Argentina,
2364533,C2,,US_SURVEILLANCE_ADVANCED_1080P_YEAR_30D,USD,15.04,1,0,0,15.04,2023-01-01,2023-01-01,US,Argentina,,Argentina,
2364534,C2,,US_SURVEILLANCE_BASIC_720P_YEAR_7D,USD,1.35,1,0,0,1.35,2023-01-01,2023-01-01,US,Argentina,,Argentina,
2364535,C2,,(EU) C2 Storage Advanced,EUR,5.48,1,0,0,5.48,2023-01-01,2023-01-01,EU,American Samoa,,American Samoa,
2364536,C2,,(US) C2 Storage Advanced,USD,12.05,1,0,0,12.05,2023-01-01,2023-01-01,US,American Samoa,,American Samoa,
2364537,C2,,C2 credit,EUR,-52.99,1,0,0,-52.99,2023-01-01,2023-01-01,,Austria,,Austria,
2364538,C2,,(EU) Active Insight Premium Early Bird,EUR,276.3,1,0,0,276.3,2023-01-01,2023-01-01,EU,Austria,,Austria,
2364539,C2,,(EU) Active Insight Premium,EUR,4.34,1,0,0,4.34,2023-01-01,2023-01-01,EU,Austria,,Austria,
2364540,C2,,(EU) C2 Storage Advanced,EUR,8080.22,1,0,0,8080.22,2023-01-01,2023-01-01,EU,Austria,,Austria,
2364541,C2,,(EU) C2 Storage Basic,EUR,2430.74,1,0,0,2430.74,2023-01-01,2023-01-01,EU,Austria,,Austria,
2364542,C2,,EU_BACKUP_PERSONAL_YEAR_500_GB,EUR,0.28,1,0,0,0.28,2023-01-01,2023-01-01,EU,Austria,,Austria,
2364543,C2,,(EU) C2 Backup Individual,EUR,141.97,1,0,0,141.97,2023-01-01,2023-01-01,EU,Austria,,Austria,
2364544,C2,,(EU) C2 Object Storage Standard,EUR,49.3,1,0,0,49.3,2023-01-01,2023-01-01,EU,Austria,,Austria,
2364545,C2,,(EU) C2 Backup Business,EUR,542.36,1,0,0,542.36,2023-01-01,2023-01-01,EU,Austria,,Austria,
2364546,C2,,(EU) C2 Password Plus,EUR,6.24,1,0,0,6.24,2023-01-01,2023-01-01,EU,Austria,,Austria,
2364547,C2,,(EU) C2 Transfer Professional,EUR,25.05,1,0,0,25.05,2023-01-01,2023-01-01,EU,Austria,,Austria,
